,total_trades,win_rate,avg_pnl,total_pnl,std_pnl,max_win,max_loss,avg_winner,avg_loser,sharpe_ratio,max_drawdown,mar_ratio,avg_rom,median_rom,expire_rate,stop_rate,best_day,worst_day
10:00,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:01,2008.0,0.7231075697211156,19.828326693227105,39815.28000000003,325.00426066700703,292.44,-507.94,219.6300826446281,-501.9561151079137,0.0610094361610318,-6613.360000000008,2.6507327500221307,0.21988644721599482,2.288361831218974,0.7270916334661355,0.2729083665338645,4.0,3.0
10:02,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:03,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:04,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:05,1004.0,0.7231075697211156,19.828326693227105,19907.640000000014,325.0852586148483,292.44,-507.94,219.6300826446281,-501.9561151079137,0.06099423510531782,-3562.079999999998,2.4606760572034307,0.21988644721599482,2.288361831218974,0.7270916334661355,0.2729083665338645,4.0,3.0
10:06,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:07,1004.0,0.7231075697211156,19.828326693227105,19907.640000000014,325.0852586148483,292.44,-507.94,219.6300826446281,-501.9561151079137,0.06099423510531782,-3562.079999999998,2.4606760572034307,0.21988644721599482,2.288361831218974,0.7270916334661355,0.2729083665338645,4.0,3.0
10:08,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:09,1004.0,0.7231075697211156,19.828326693227105,19907.640000000014,325.0852586148483,292.44,-507.94,219.6300826446281,-501.9561151079137,0.06099423510531782,-3562.079999999998,2.4606760572034307,0.21988644721599482,2.288361831218974,0.7270916334661355,0.2729083665338645,4.0,3.0
10:10,1000.0,0.715,13.944600000000015,13944.600000000015,327.37273637149343,297.44,-507.94,219.07076923076923,-500.6701754385965,0.04259548352913565,-3946.399999999996,1.555762476534174,0.15458747248810095,2.285840220385675,0.72,0.28,1.0,3.0
10:11,1004.0,0.7231075697211156,19.828326693227105,19907.640000000014,325.0852586148483,292.44,-507.94,219.6300826446281,-501.9561151079137,0.06099423510531782,-3562.079999999998,2.4606760572034307,0.21988644721599482,2.288361831218974,0.7270916334661355,0.2729083665338645,4.0,3.0
